"brand","model","model_year","milage","fuel_type","engine","transmission","ext_col","int_col","accident","clean_title","price"
"Lexus","LS 430 Base",0.56,0.103482341318844,"Gasoline","290.0HP 4.3L 8 Cylinder Engine Gasoline Fuel","A/T","Silver","Gray","At least 1 accident or damage reported","Yes",0.0047420753413776
"Jaguar","F-PACE S",0.98,0.0111731291676957,"Gasoline","2.0 Liter","Automatic","Santorin Black","Black","None reported","",0.0186302349900054
"BMW","M5 Base",0.64,0.261546060755742,"Gasoline","500.0HP 5.0L 10 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",0.00592801760655103
"Hyundai","Santa Fe SE",0.96,0.0333662632748827,"Gasoline","2.5L I4 16V PDI DOHC","8-Speed Automatic","Stormy Sea","Black","None reported","",0.00862103131924136
"Lamborghini","Urus Base",0.9,0.0414324524573969,"Gasoline","4.0L V8 32V GDI DOHC Twin Turbo","8-Speed Automatic","Gray","Brown","None reported","",0.0704248491658263
"Ford","Expedition Timberline",0.98,0.0217609286243517,"Gasoline","3.5L V6 24V PDI DOHC Twin Turbo","10-Speed Automatic","Dark Matter Metallic","Black Onyx","At least 1 accident or damage reported","Yes",0.0255514496035511
"Chevrolet","Silverado 1500 LT Trail Boss",0.94,0.119883921956039,"Gasoline","5.3L V8 16V GDI OHV","10-Speed Automatic","Silver Ice Metallic","Jet Black","None reported","",0.0141141018054032
"GMC","Sierra 1500 SLT",0.94,0.0275376636206471,"Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",0.023119268665549
"Ford","Mustang Premium",0.66,0.310940973079773,"Gasoline","210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel","A/T","Red","Black","None reported","Yes",0.00237120704262041
"BMW","M5 Base",0.68,0.191775747098049,"Gasoline","500.0HP 5.0L 10 Cylinder Engine Gasoline Fuel","7-Speed A/T","Silver","Silver","None reported","Yes",0.00643613340139827
"Toyota","Tacoma SR",0.92,0.0673326747345023,"Gasoline","278.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Gray","Gray","None reported","Yes",0.0111785474866391
"Porsche","Cayenne Base",0.9,0.0761941220054334,"Gasoline","3.0L V6 24V GDI DOHC Turbo","8-Speed Automatic","White","Black","None reported","Yes",0.0264694454729085
"Ford","F-150 Lightning XLT",0.98,0.000266732526549765,"","563.0HP Electric Motor Electric Fuel System","A/T","Gray","Gold","None reported","Yes",0.0294707161011394
"Dodge","Durango GT",0.94,0.0501012595702643,"Gasoline","3.6L V6 24V MPFI DOHC","8-Speed Automatic","Billet Clearcoat Metallic","Black","None reported","",0.0105007210163129
"BMW","330e iPerformance",0.88,0.111516423808348,"Plug-In Hybrid","247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",0.00778941513500806
"GMC","Terrain Denali",0.84,0.3553963941714,"Gasoline","301.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Black","None reported","Yes",0.0055553993569964
"Ford","Excursion Limited",0.6,0.187856260805137,"Diesel","325.0HP 6.0L 8 Cylinder Engine Diesel Fuel","5-Speed A/T","Gold","Gold","None reported","Yes",0.00626676146978252
"Hyundai","Genesis 3.8",0.82,0.151148431711534,"Gasoline","311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Silver","Gray","","",0.0061482011176515
"Mitsubishi","Mirage ES",0.86,0.0879180044455421,"Gasoline","78.0HP 1.2L 3 Cylinder Engine Gasoline Fuel","A/T","Blue","Black","None reported","Yes",0.00228652107681254
"Mercedes-Benz","E-Class E 350 4MATIC",0.72,0.0664361570758212,"Gasoline","268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Black","None reported","Yes",0.0069442491962455
"Mazda","Mazda3 i Sport",0.82,0.399851815263028,"Gasoline","155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Red","Black","None reported","Yes",0.00321806670069913
"BMW","M3 Base",0.68,0.191899234378859,"Gasoline","414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","M/T","Red","Black","None reported","Yes",0.00897671237563442
"Mercedes-Benz","E-Class E 350",0.8,0.135589034329464,"Gasoline","302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",0.00584333164074316
"Ford","Bronco Outer Banks Advanced",0.96,0.0293899728327982,"Gasoline","315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel","10-Speed A/T","Gray","Brown","At least 1 accident or damage reported","Yes",0.021679268502952
"Tesla","Model X 75D",0.86,0.174065201284268,"","518.0HP Electric Motor Electric Fuel System","A/T","Black","White","None reported","Yes",0.0136344404950674
"Jeep","Wrangler Unlimited Sport",0.72,0.264015806371944,"Gasoline","205.0HP 3.8L V6 Cylinder Engine Gasoline Fuel","A/T","White","Gray","At least 1 accident or damage reported","Yes",0.00525052988008806
"Honda","Pilot Elite",0.94,0.105095085206224,"Gasoline","3.5L V6 24V GDI SOHC","9-Speed Automatic","Gray","Black","None reported","",0.0125328454518386
"Acura","TL 3.2",0.68,0.478347740182761,"Gasoline","258.0HP 3.2L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","At least 1 accident or damage reported","Yes",0.0027099509058519
"Lexus","IS 350 Base",0.8,0.303531736231168,"Gasoline","306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Red","Black","At least 1 accident or damage reported","Yes",0.0054199018117038
"Chevrolet","Equinox LT",0.74,0.320819955544579,"Gasoline","264.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Brown","Black","At least 1 accident or damage reported","Yes",0.00169371931615744
"Mitsubishi","Lancer DE",0.7,0.353781180538405,"Gasoline","152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","5-Speed M/T","Black","Black","At least 1 accident or damage reported","Yes",0.000338743863231488
"Land","Rover LR2 Base",0.82,0.277512966164485,"Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Beige","None reported","Yes",0.00338574491299872
"Nissan","Leaf SV PLUS",0.98,0.0124005927389479,"","Electric","1-Speed Automatic","Brilliant Silver Metallic","Black","None reported","Yes",0.00887373424121205
"Audi","A5 2.0T Premium",0.76,0.338782415411213,"Gasoline","211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Beige","None reported","Yes",0.00304869476908339
"Rivian","R1S Launch Edition",0.98,0.000491479377624105,"","835.0HP Electric Motor Electric Fuel System","1-Speed A/T","Blue","Gray","None reported","Yes",0.0306563196224496
"Lexus","RX 450h Base",0.88,0.174561620153124,"Hybrid","308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid","CVT Transmission","Silver","Gray","None reported","Yes",0.0114156681909011
"Chevrolet","Tahoe LT",0.88,0.135589034329464,"Gasoline","355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",0.0121609046900104
"Mercedes-Benz","G-Class G 550 4MATIC",0.86,0.0569301061990615,"Gasoline","416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Gray","Black","None reported","Yes",0.0279463687165977
"Cadillac","XTS Luxury",0.78,0.375154359101013,"Gasoline","304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Gray","At least 1 accident or damage reported","Yes",0.00220183511100467
"INFINITI","Q50 3.0t Red Sport 400",0.92,0.0574067671029884,"Gasoline","3.0L V6 24V GDI DOHC Twin Turbo","7-Speed Automatic","Liquid Platinum","White","None reported","",0.0118556964692388
"Subaru","Outback 3.6R Limited",0.84,0.214848110644604,"Gasoline","256.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel","A/T","Blue","Black","At least 1 accident or damage reported","Yes",0.00592801760655103
"Toyota","Avalon XLS",0.6,0.223573721906644,"Gasoline","210.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","A/T","Gray","Gray","None reported","Yes",0.00118560352131021
"Chevrolet","Traverse RS",0.94,0.10934304766609,"Gasoline","310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","9-Speed A/T","Silver","Black","None reported","Yes",0.0115172913498706
"BMW","330 i",0.94,0.0639664114596197,"Gasoline","255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",0.0118560352131021
"Karma","Revero Base",0.88,0.0510249444307236,"","403.0HP 2.0L Electric Motor Electric Fuel System","A/T","White","Black","None reported","Yes",0.0181227966828846
"Lexus","GX 460 Base",0.94,0.0963250185230921,"Gasoline","4.6 Liter","Automatic","Silver","Rioja Red","None reported","",0.0168687669012016
"Alfa","Romeo Stelvio Ti Sport",0.9,0.0975919980242035,"Gasoline","2L I-4 gasoline direct injection, MultiAir2 variable valve contr","Automatic, 8-Spd","Vulcano Black Metallic","Red/Black","None reported","",0.00911220992092702
"GMC","Sierra 2500 Base",0.9,0.142998271178069,"E85 Flex Fuel","360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability","A/T","Silver","Beige","None reported","Yes",0.0116866632814863
"Lexus","IS 250 Base",0.78,0.365275376636206,"Gasoline","204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Gray","Black","At least 1 accident or damage reported","Yes",0.0027099509058519
"Porsche","Panamera 2",0.74,0.256606569523339,"Gasoline","300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","7-Speed A/T","White","Black","None reported","Yes",0.00640225901507512
"BMW","535 i xDrive",0.78,0.113731785626081,"Gasoline","306.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Silver","Black","At least 1 accident or damage reported","Yes",0.00508115794847232
"Chevrolet","Silverado 2500 High Country",0.96,0.0463324277599407,"Diesel","445.0HP 6.6L 8 Cylinder Engine Diesel Fuel","10-Speed A/T","Blue","Gray","None reported","Yes",0.0245589300842829
"Mercedes-Benz","AMG C 63 Base",0.86,0.0698913311928871,"Gasoline","469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Gray","Black","None reported","Yes",0.0181566710692077
"Jeep","Wrangler Sahara",0.48,0.336873302049889,"Gasoline","181.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel","5-Speed M/T","Black","Black","None reported","Yes",0.00169338057229421
"Porsche","Boxster S",0.62,0.23479871573228,"Gasoline","280.0HP 3.2L Flat 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Blue","Gray","None reported","Yes",0.00775723446800107
"BMW","M3 Base",0.64,0.235490244504816,"Gasoline","333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Gray","Gray","At least 1 accident or damage reported","Yes",0.0135497545292595
"Chevrolet","Camaro LT1",0.96,0.018651518893554,"Gasoline","6.2 Liter","Automatic","Blue","Jet Black","None reported","",0.0128715893150701
"BMW","535 i xDrive",0.74,0.417140034576439,"Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","White","At least 1 accident or damage reported","Yes",0.00304835602522016
"RAM","1500 Laramie",0.96,0.0411064460360583,"Gasoline","5.7L V8 16V MPFI OHV","8-Speed Automatic","Delmonico Red Pearlcoat","Black","None reported","",0.0152431351015537
"Mercedes-Benz","Metris Base",0.92,0.00228451469498642,"Gasoline","2.0L I4 16V GDI DOHC Turbo","7-Speed Automatic","Black","Beige","None reported","Yes",0.100606927379752
"Chevrolet","Express 1500 Cargo",0.6,0.375154359101013,"Gasoline","195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel","A/T","White","Gray","At least 1 accident or damage reported","Yes",0.0020321244355257
"BMW","X7 xDrive40i",0.92,0.11336132378365,"Gasoline","335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",0.0179530860074056
"BMW","X7 xDrive40i",0.96,0.0195109903679921,"Hybrid","335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid","A/T","Blue","Brown","None reported","Yes",0.0281157406482135
"Ferrari","F12berlinetta Base",0.84,0.0362311681896765,"Gasoline","6.3L V12 48V GDI DOHC","7-Speed Automatic with Auto-Shift","Gray","–","None reported","",0.0856683230112432
"Chevrolet","Silverado 2500 LT",0.84,0.208251420103729,"E85 Flex Fuel","360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability","6-Speed A/T","White","Black","None reported","Yes",0.0117882864404558
"Mercedes-Benz","Maybach S 580 4MATIC",0.96,0.0115090145714991,"Gasoline","4.0L V8 32V GDI DOHC Twin Turbo","9-Speed Automatic","Diamond White","Black","None reported","Yes",0.0768948569535477
"GMC","Sierra 1500 Denali",0.94,0.110128426772042,"Gasoline","6.2L V8 16V GDI OHV","10-Speed Automatic","White Frost Tri-Coat","Walnut","At least 1 accident or damage reported","",0.0185970380914087
"Mitsubishi","Outlander SEL",0.96,0.0286490491479378,"Gasoline","181.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",0.0105010597601761
"Ford","Shelby GT350 Base",0.9,0.00666831316374413,"Gasoline","526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Black","None reported","Yes",0.0301482038276024
"MINI","Cooper Base",0.72,0.142998271178069,"Gasoline","118.0HP 1.6L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","Gold","Black","None reported","Yes",0.00203246317938893
"Toyota","Prius Touring",0.7,0.351691775747098,"Hybrid","76.0HP 1.5L 4 Cylinder Engine Gas/Electric Hybrid","A/T","Blue","Beige","None reported","Yes",0.00169338057229421
"Cadillac","Escalade ESV Base",0.66,0.473697209187454,"Gasoline","403.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Black","At least 1 accident or damage reported","Yes",0.00262526494004403
"Audi","A6 2.0T Premium Plus",0.84,0.156329958014325,"Gasoline","252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Gray","At least 1 accident or damage reported","Yes",0.00592801760655103
"Chevrolet","Suburban 1500 LT",0.68,0.401704124475179,"Gasoline","320.0HP 5.3L 8 Cylinder Engine Gasoline Fuel","Transmission Overdrive Switch","White","Black","At least 1 accident or damage reported","Yes",0.00176146808880374
"Jaguar","XK R",0.76,0.0945492714250432,"Gasoline","510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Black","None reported","Yes",0.0118387592760773
"Porsche","911 Carrera GTS",0.96,0.00428994813534206,"Gasoline","3.0L H6 24V GDI DOHC Twin Turbo","8-Speed Automatic with Auto-Shift","Aventurine Green Metallic","Agave Green","None reported","",0.0602625332688817
"Ford","F-250 XLT",0.96,0.0893899728327982,"Diesel","6.7L V8 32V DDI OHV Turbo Diesel","Automatic","Oxford White","Medium Earth Gray","","",0.0255870177091904
"Audi","A4 2.0T Premium",0.74,0.224050382810571,"Gasoline","211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Black","At least 1 accident or damage reported","Yes",0.00213408633835837
"Cadillac","ATS 2.0L Turbo",0.88,0.0787848851568288,"Gasoline","272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","Gray","Black","None reported","Yes",0.00711328238399801
"Ford","Transit-350 Base",0.9,0.233514448011855,"Gasoline","275.0HP 3.7L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","–","None reported","Yes",0.0118560352131021
"Mercedes-Benz","G-Class G 63 AMG",0.8,0.12299086194122,"Gasoline","536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",0.0240504755455724
"Jeep","Wrangler Sahara",0.74,0.135589034329464,"Gasoline","202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel","4-Speed A/T","Red","Black","At least 1 accident or damage reported","Yes",0.0111785474866391
"BMW","M4 Base",0.82,0.0582859965423561,"Gasoline","425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",0.0138207496198447
"Tesla","Model S P100D",0.88,0.11336132378365,"","518.0HP Electric Motor Electric Fuel System","A/T","White","Black","None reported","Yes",0.0194777721358105
"Maserati","Ghibli S GranLusso",0.92,0.02968140281551,"Gasoline","424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Blue","Brown","None reported","Yes",0.0172420626384827
"Pontiac","Firebird Trans Am",0.54,0.157816744875278,"Gasoline","310.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Blue","Beige","None reported","Yes",0.00643613340139827
"Ford","Expedition XLT",0.96,0.0545048160039516,"Gasoline","3.5L V6 24V PDI DOHC Twin Turbo","10-Speed Automatic","Black","Sandstone","None reported","Yes",0.0187501503175893
"Ferrari","812 Superfast Base",0.92,0.00364287478389726,"Gasoline","788.0HP 6.5L 12 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Red","Black","None reported","Yes",0.158498253606013
"Tesla","Model X Long Range Plus",0.94,0.115576685601383,"","557.0HP Electric Motor Electric Fuel System","A/T","Blue","Black","None reported","Yes",0.0226958388365097
"Land","Rover Range Rover P400 SE SWB",0.96,0.00807359841936281,"Hybrid","395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid","A/T","White","Black","None reported","Yes",0.0465772811943296
"BMW","535 i xDrive",0.74,0.333168683625587,"Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Blue","Beige","None reported","Yes",0.00270961216198867
"BMW","428 i xDrive",0.82,0.308471227463571,"Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",0.00440367022200934
"Cadillac","Escalade ESV Platinum",0.86,0.330698938009385,"Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Gold","Brown","None reported","Yes",0.0105007210163129
"BMW","X5 xDrive35i",0.8,0.353544084959249,"Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","White","None reported","Yes",0.00372584375168313
"Lexus","GX 460 Premium",0.86,0.204680167942702,"Gasoline","301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel","A/T","White","Beige","None reported","Yes",0.00982357203371314
"MINI","Countryman Cooper S ALL4",0.84,0.22622869844406,"Gasoline","181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","White","Black","None reported","Yes",0.00406458761491462
"Ford","F-150 XLT",0.88,0.178545319832057,"Gasoline","325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel","10-Speed A/T","Black","Black","None reported","Yes",0.0111785474866391
"INFINITI","QX60 Base",0.84,0.175104964188689,"Gasoline","265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",0.00660550533301401
"Lexus","RX 350 Base",0.76,0.397135095085206,"Gasoline","270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Silver","Gray","None reported","Yes",0.00440367022200934
"Dodge","Charger Scat Pack",0.92,0.099056557174611,"Gasoline","485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Red","Black","At least 1 accident or damage reported","Yes",0.0121947790763336
"Lexus","IS 350 Base",0.86,0.190664361570758,"Gasoline","306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Black","None reported","Yes",0.00948482817048166
"Nissan","NV200 SV",0.86,0.0409977772289454,"Gasoline","131.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",0.00829922464917145
"Subaru","Impreza 2.0i Premium",0.78,0.276364534452951,"Gasoline","148.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","CVT Transmission","Black","Beige","None reported","Yes",0.00270961216198867
"BMW","M3 Base",0.84,0.136206470733514,"Gasoline","425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Blue","White","None reported","Yes",0.0162593666912482
"INFINITI","QX80 Luxe",0.92,0.170165472956286,"Gasoline","400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel","A/T","Gray","Black","None reported","Yes",0.00997600677216731
"Rolls-Royce","Phantom",0.98,0.00360582859965424,"–","–","–","Tempest","Cobalt Blue","None reported","Yes",0.202567136493114
"Ford","Mustang GT Premium",0.84,0.099950605087676,"Gasoline","435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Gray","Black","At least 1 accident or damage reported","Yes",0.00965081266346508
"Toyota","RAV4 TRD Off Road",0.92,0.114596196591751,"Gasoline","203.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Black","None reported","Yes",0.0112462962592854
"Honda","S2000 Base",0.52,0.066189182514201,"Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","M/T","Silver","Red","None reported","Yes",0.0111785474866391
"Jeep","Gladiator Sport",0.94,0.0140256853544085,"Gasoline","3.6L V6 24V MPFI DOHC","8-Speed Automatic","Firecracker Red Clearcoat","Black","","",0.0133224573970312
"Ford","Bronco Big Bend Advanced",0.98,0.0293899728327982,"Gasoline","275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel","10-Speed A/T","Black","–","None reported","Yes",0.0176146808880374
"Ford","Expedition Timberline",0.96,0.0745887873549024,"Gasoline","3.5L V6 24V PDI DOHC Twin Turbo","10-Speed Automatic","Dark Matter Metallic","Deep Cypress","None reported","Yes",0.0224993673958354
"Toyota","Sequoia TRD Pro",0.98,0.00123487280810077,"Hybrid","437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid","10-Speed A/T","Orange","Black","None reported","Yes",0.0304852539715177
"Plymouth","Prowler Base",0.54,0.054828352679674,"Gasoline","253.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","4-Speed A/T","Blue","Gray","None reported","Yes",0.00897671237563442
"Alfa","Romeo Giulia Ti",0.98,0.0226599160286491,"Gasoline","2.0L I4 16V GDI SOHC Turbo","8-Speed Automatic","Alfa White","Black","None reported","",0.0141933678693993
"Chevrolet","Suburban 1500 LS",0.6,0.423931835020993,"E85 Flex Fuel","295.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability","4-Speed A/T","White","Beige","At least 1 accident or damage reported","Yes",0.0037255050078199
"Mitsubishi","Lancer Evolution GSR",0.78,0.188688565077797,"Gasoline","291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","5-Speed M/T","Black","Black","None reported","Yes",0.00880734044401868
"Mercedes-Benz","AMG GLE 43 Coupe 4MATIC",0.88,0.120770560632255,"Gasoline","385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","9-Speed A/T","Blue","Brown","At least 1 accident or damage reported","Yes",0.0138868046731748
"Audi","R8 5.2 quattro Spyder",0.74,0.184983946653495,"Gasoline","525.0HP 5.2L 10 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Brown","At least 1 accident or damage reported","Yes",0.0243895581526671
"Ford","Escape XLT",0.66,0.328970116078044,"Gasoline","153.0HP 2.3L 4 Cylinder Engine Gasoline Fuel","4-Speed A/T","Silver","Silver","None reported","Yes",0.000338743863231488
"BMW","X5 3.0si",0.66,0.245986663373673,"Gasoline","260.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",0.00220183511100467
"Chevrolet","Camaro 2LT",0.74,0.312669795011114,"Gasoline","312.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Beige","At least 1 accident or damage reported","Yes",0.00406492635877785
"BMW","340 i",0.84,0.0689059026920227,"Gasoline","320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Red","None reported","Yes",0.0118543414937859
"Mercedes-Benz","SL-Class SL 550",0.76,0.0523586070634725,"Gasoline","382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Silver","Red","At least 1 accident or damage reported","Yes",0.0123641510079493
"Cadillac","Escalade Platinum",0.9,0.226969622128921,"Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",0.0169033187752512
"Chevrolet","Silverado 3500 LTZ",0.88,0.227337614225735,"Diesel","6.6L V8 32V DDI OHV Turbo Diesel","6-Speed Automatic","Black","Jet Black","","",0.0172383364559872
"Lexus","RC F Base",0.82,0.0633637935292665,"Gasoline","467.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",0.0162580117157953
"Kia","Forte GT-Line",0.94,0.0603457643862682,"Gasoline","147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","CVT Transmission","White","Black","None reported","Yes",0.00674100287830661
"Land","Rover Range Rover Sport Supercharged Dynamic",0.88,0.143245245739689,"Gasoline","518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Red","Black","None reported","Yes",0.0174449702125584
"Nissan","Titan S",0.86,0.0496912817979748,"Gasoline","390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","White","Gray","None reported","Yes",0.0102720689086316
"Honda","Accord EX-L 2.0T",0.9,0.098713262533959,"Gasoline","252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Black","At least 1 accident or damage reported","Yes",0.00863796851240294
"Subaru","WRX Base",0.86,0.150234625833539,"Gasoline","268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","Blue","Black","None reported","Yes",0.00736767902528486
"Audi","A4 2.0T Titanium Premium",0.9,0.017782168436651,"Gasoline","188.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","7-Speed A/T","White","Gray","None reported","Yes",0.00877346605769553
"Ford","Mustang EcoBoost Premium",0.88,0.0837243763892319,"–","–","A/T","Blue","Gray","At least 1 accident or damage reported","Yes",0.00779110885432422
"Chevrolet","Avalanche 1500 LS",0.76,0.138058779945666,"E85 Flex Fuel","320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability","A/T","Red","Black","At least 1 accident or damage reported","Yes",0.0054199018117038
"Mercedes-Benz","CLA-Class CLA 250",0.8,0.335638429241788,"Gasoline","208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Black","At least 1 accident or damage reported","Yes",0.00338743863231488
"BMW","228 Gran Coupe i xDrive",0.92,0.0765621141022475,"Gasoline","228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","Blue","White","None reported","Yes",0.00846825783692396
"Maserati","GranTurismo Base",0.76,0.0296369473944184,"Gasoline","440.0HP 4.7L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Blue","Beige","None reported","Yes",0.0121609046900104
"Ford","Expedition Platinum",0.94,0.127937762410472,"Gasoline","3.5L V6 24V PDI DOHC Twin Turbo","10-Speed Automatic","Red","Ceramic","None reported","Yes",0.0187935095320829
"Audi","S4 Base",0.66,0.229439367745122,"Gasoline","340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Black","At least 1 accident or damage reported","Yes",0.00304700104976723
"Land","Rover Range Rover Sport Supercharged HSE",0.84,0.246517658681156,"Gasoline","340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","A/T","Blue","White","At least 1 accident or damage reported","Yes",0.00829922464917145
"Ford","Mustang Mach-E GT",0.96,0.0186737466040998,"","Electric","1-Speed Automatic","Star White","Black Onyx","None reported","",0.0161238691459556
